date,ta_08,ta_12,ta_18,rn_08,rn_12,rn_18,ws_08,ws_12,ws_18,hm_08,hm_12,hm_18
2018-01-01,-8.0,-2.5,-3.8,0.0,0.0,0.0,0.5,1.0,1.4,39.0,25.0,30.0
2018-01-02,-4.6,-0.3,-2.4,0.0,0.0,0.0,1.4,2.2,1.7,59.0,42.0,32.0
2018-01-03,-12.2,-1.6,-5.0,0.0,0.0,0.0,0.3,1.6,2.1,64.0,25.0,36.0
2018-01-04,-12.7,-0.7,-2.6,0.0,0.0,0.0,0.1,0.4,0.6,70.0,27.0,63.0
2018-01-05,-7.4,0.7,-2.7,0.0,0.0,0.0,0.1,2.9,1.7,77.0,29.0,37.0
2018-01-06,-7.5,1.6,-3.0,0.0,0.0,0.0,1.6,1.3,0.3,51.0,25.0,39.0
2018-01-07,-12.4,3.3,0.8,0.0,0.0,0.0,0.6,0.5,2.3,77.0,22.0,25.0
2018-01-08,-0.2,2.6,0.0,0.0,0.2,0.0,1.2,2.1,2.5,73.0,87.0,65.0
2018-01-09,-8.8,-6.3,-7.4,0.0,0.0,0.0,3.3,2.2,4.6,58.0,49.0,59.0
2018-01-10,-10.0,-8.0,-10.7,0.0,0.0,0.0,2.6,3.7,2.0,47.0,38.0,35.0
2018-01-11,-15.9,-10.7,-12.6,0.0,0.0,0.0,1.6,2.3,2.3,49.0,30.0,43.0
2018-01-12,-17.2,-8.5,-10.4,0.0,0.0,0.0,2.1,1.6,2.0,55.0,23.0,24.0
2018-01-13,-9.4,-3.8,-5.2,0.0,0.0,0.0,1.4,3.5,1.1,70.0,55.0,59.0
2018-01-14,-14.3,2.4,-0.9,0.0,0.0,0.0,0.0,3.5,1.4,84.0,33.0,52.0
2018-01-15,1.8,4.5,1.4,0.0,0.0,0.0,3.1,2.6,1.1,67.0,54.0,48.0
2018-01-16,2.0,5.2,1.2,0.0,0.0,0.0,2.2,1.0,1.8,52.0,42.0,91.0
2018-01-17,0.3,1.6,0.6,0.0,0.6,0.0,0.0,1.0,0.1,98.0,94.0,94.0
2018-01-18,-0.6,2.0,0.6,0.0,0.0,0.0,1.4,1.4,0.7,64.0,44.0,53.0
